"AmberWarningLamp","BatteryLevel","ClassCode","ControllerId","ControllerName","Count","DateTime","DeviceId","DiagnosticCode","DiagnosticId","DiagnosticName","DiagnosticSourceId","DiagnosticSourceName","DiagnosticUnitOfMeasure","DiagnosticUnitOfMeasureName","DismissDateTime","DismissUserId","EntityStatus","FailureModeCode","FailureModeId","FailureModeName","FaultLampState","FaultState","Geotabld","Latitude","Longitude","MalfunctionLamp","numerictime","numerictime1","OBD2DTC","ProtectWarningLamp","RecordLastChangedUtc","RedStopLamp","Severity","SourceAddress","Speed","StmTime","Temperature"
"False",68.215,"NULL","ControllerGoDeviceId","Telematics device",1,"2021-08-19 10:43:27.55","b14",2118,"DiagnosticCanBusExcessiveListenId","Generic state of charge","SourceGeotabGoId","**Go","UnitOfMeasurePercentageId","%","NULL","NoUserId",1,"NULL","NoFailureModeId","**No Failure Mode","NULL","Active","DiagnosticStateOfChargeId",42.3378677,-83.5079956,"False",1629369807.55,1629369600,"NULL","False","2021-06-18 21:50:59.070679","False","NULL","NULL",74,2021-08-19 10:43:27,84.9807227449492
"False",68.215,"NULL","ControllerGoDeviceId","Telematics device",1,"2021-08-19 10:43:27.55","b14",2118,"DiagnosticCanBusExcessiveListenId","Generic state of charge","SourceGeotabGoId","**Go","UnitOfMeasurePercentageId","%","NULL","NoUserId",1,"NULL","NoFailureModeId","**No Failure Mode","NULL","Active","DiagnosticStateOfChargeId",42.3399429,-83.5080414,"False",1629369807.55,1629369600,"NULL","False","2021-06-18 21:50:59.070679","False","NULL","NULL",76,2021-08-19 10:43:27,75.4310854524374
"False",68.215,"NULL","ControllerGoDeviceId","Telematics device",1,"2021-08-19 10:43:27.55","b14",2118,"DiagnosticCanBusExcessiveListenId","Generic state of charge","SourceGeotabGoId","**Go","UnitOfMeasurePercentageId","%","NULL","NoUserId",1,"NULL","NoFailureModeId","**No Failure Mode","NULL","Active","DiagnosticStateOfChargeId",42.3416557,-83.5080719,"False",1629369807.55,1629369600,"NULL","False","2021-06-18 21:50:59.070679","False","NULL","NULL",63,2021-08-19 10:43:27,71.1470401939005
"False",68.215,"NULL","ControllerGoDeviceId","Telematics device",1,"2021-08-19 10:43:27.55","b14",2118,"DiagnosticCanBusExcessiveListenId","Generic state of charge","SourceGeotabGoId","**Go","UnitOfMeasurePercentageId","%","NULL","NoUserId",1,"NULL","NoFailureModeId","**No Failure Mode","NULL","Active","DiagnosticStateOfChargeId",42.3438072,-83.5081253,"False",1629369807.55,1629369600,"NULL","False","2021-06-18 21:50:59.070679","False","NULL","NULL",61,2021-08-19 10:43:27,73.3844246994704
"False",68.215,"NULL","ControllerGoDeviceId","Telematics device",1,"2021-08-19 10:43:27.55","b14",2118,"DiagnosticCanBusExcessiveListenId","Generic state of charge","SourceGeotabGoId","**Go","UnitOfMeasurePercentageId","%","NULL","NoUserId",1,"NULL","NoFailureModeId","**No Failure Mode","NULL","Active","DiagnosticStateOfChargeId",42.3458061,-83.5081711,"False",1629369807.55,1629369600,"NULL","False","2021-06-18 21:50:59.070679","False","NULL","NULL",37,2021-08-19 10:43:27,77.8738345438614
"False",68.215,"NULL","ControllerGoDeviceId","Telematics device",1,"2021-08-19 10:43:27.55","b14",2118,"DiagnosticCanBusExcessiveListenId","Generic state of charge","SourceGeotabGoId","**Go","UnitOfMeasurePercentageId","%","NULL","NoUserId",1,"NULL","NoFailureModeId","**No Failure Mode","NULL","Active","DiagnosticStateOfChargeId",42.3460617,-83.5081711,"False",1629369807.55,1629369600,"NULL","False","2021-06-18 21:50:59.070679","False","NULL","NULL",7,2021-08-19 10:43:27,81.1377191869542
"False",68.215,"NULL","ControllerGoDeviceId","Telematics device",1,"2021-08-19 10:43:27.55","b14",2118,"DiagnosticCanBusExcessiveListenId","Generic state of charge","SourceGeotabGoId","**Go","UnitOfMeasurePercentageId","%","NULL","NoUserId",1,"NULL","NoFailureModeId","**No Failure Mode","NULL","Active","DiagnosticStateOfChargeId",42.346138,-83.5081711,"False",1629369807.55,1629369600,"NULL","False","2021-06-18 21:50:59.070679","False","NULL","NULL",0,2021-08-19 10:43:27,65.707705533132
"False",68.215,"NULL","ControllerGoDeviceId","Telematics device",1,"2021-08-19 10:43:27.55","b14",2118,"DiagnosticCanBusExcessiveListenId","Generic state of charge","SourceGeotabGoId","**Go","UnitOfMeasurePercentageId","%","NULL","NoUserId",1,"NULL","NoFailureModeId","**No Failure Mode","NULL","Active","DiagnosticStateOfChargeId",42.3461876,-83.5081711,"False",1629369807.55,1629369600,"NULL","False","2021-06-18 21:50:59.070679","False","NULL","NULL",0,2021-08-19 10:43:27,68.977654161863
"False",68.215,"NULL","ControllerGoDeviceId","Telematics device",1,"2021-08-19 10:43:27.55","b14",2118,"DiagnosticCanBusExcessiveListenId","Generic state of charge","SourceGeotabGoId","**Go","UnitOfMeasurePercentageId","%","NULL","NoUserId",1,"NULL","NoFailureModeId","**No Failure Mode","NULL","Active","DiagnosticStateOfChargeId",42.3461876,-83.5081711,"False",1629369807.55,1629369600,"NULL","False","2021-06-18 21:50:59.070679","False","NULL","NULL",3,2021-08-19 10:43:27,69.8195791337639
"False",68.215,"NULL","ControllerGoDeviceId","Telematics device",1,"2021-08-19 10:43:27.55","b14",2118,"DiagnosticCanBusExcessiveListenId","Generic state of charge","SourceGeotabGoId","**Go","UnitOfMeasurePercentageId","%","NULL","NoUserId",1,"NULL","NoFailureModeId","**No Failure Mode","NULL","Active","DiagnosticStateOfChargeId",42.3465996,-83.5081711,"False",1629369807.55,1629369600,"NULL","False","2021-06-18 21:50:59.070679","False","NULL","NULL",37,2021-08-19 10:43:27,67.6394659886137
"False",68.215,"NULL","ControllerGoDeviceId","Telematics device",1,"2021-08-19 10:43:27.55","b14",2118,"DiagnosticCanBusExcessiveListenId","Generic state of charge","SourceGeotabGoId","**Go","UnitOfMeasurePercentageId","%","NULL","NoUserId",1,"NULL","NoFailureModeId","**No Failure Mode","NULL","Active","DiagnosticStateOfChargeId",42.3622665,-83.5087891,"False",1629369807.55,1629369600,"NULL","False","2021-06-18 21:50:59.070679","False","NULL","NULL",44,2021-08-19 10:43:27,72.300581051968
"False",76.72,"NULL","ControllerGoDeviceId","Telematics device",1,"2021-08-19 10:43:27.55","b14",2118,"DiagnosticCanBusExcessiveListenId","Generic state of charge","SourceGeotabGoId","**Go","UnitOfMeasurePercentageId","%","NULL","NoUserId",1,"NULL","NoFailureModeId","**No Failure Mode","NULL","Active","DiagnosticStateOfChargeId",42.3461876,-83.5081711,"False",1629369807.55,1629369600,"NULL","False","2021-06-18 21:50:59.070679","False","NULL","NULL",3,2021-08-19 10:43:27,79.8704260028899
"False",76.72,"NULL","ControllerGoDeviceId","Telematics device",1,"2021-08-19 10:43:27.55","b14",2118,"DiagnosticCanBusExcessiveListenId","Generic state of charge","SourceGeotabGoId","**Go","UnitOfMeasurePercentageId","%","NULL","NoUserId",1,"NULL","NoFailureModeId","**No Failure Mode","NULL","Active","DiagnosticStateOfChargeId",42.3465996,-83.5081711,"False",1629369807.55,1629369600,"NULL","False","2021-06-18 21:50:59.070679","False","NULL","NULL",37,2021-08-19 10:43:27,73.3565355744213
